Application_mode,Course,Gender,Previous_qualification,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Tuition_fees_up_to_date,Scholarship_holder,Age_at_enrollment,Debtor,Status (Actual),PredictedStatus,Probability
Change of Course,Management (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,5,13.8,5,13.8,1,0,36,0,1,1,0.26
Over 23 Years Old,Management (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,5,12,4,10.5,1,0,25,0,1,1,0.26
Over 23 Years Old,Agronomy,Male,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,13,11.61538462,18,11.55555556,1,0,35,0,1,1,0.18
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,13.68142857,7,13.68142857,1,0,18,0,1,1,0.2667
Change of Course,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.61666667,6,12.1,1,0,23,0,1,1,0.16
2nd Phase - General Contingent,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,4,11.25,4,10.5,1,0,19,0,1,1,0.2133
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.8,5,11.94,1,1,18,0,1,1,0.22
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14,6,14.25,1,0,19,0,1,1,0.3
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,14.3625,7,13.89428571,1,1,19,0,1,1,0.22
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.31375,7,13.46875,1,1,19,0,1,1,0.22
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,14.6,5,13.6,1,1,19,0,1,1,0.1533
Technological Specialization Diploma Holders,Social Service (Evening Attendance),Female,Technological Specialization Course,6,13.83333333,6,14.66666667,1,1,21,0,1,1,0.1067
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13,6,13.66666667,1,0,18,0,1,1,0.2267
Change of Course,Tourism,Female,Higher Education - Degree,11,13.72727273,10,13.3,1,0,33,0,1,1,0.2067
Holders of Other Higher Courses,Social Service (Evening Attendance),Female,Higher Education - Degree,7,12.42857143,11,13.45454545,1,0,32,0,1,1,0.2333
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.41625,8,13.41625,1,1,17,0,1,1,0.2067
Over 23 Years Old,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,5,13,6,11.33333333,1,1,32,0,1,1,0.14
Change of Institution/Course,Communication Design,Female,Other - 11th Year of Schooling,6,10.16666667,5,11,1,0,31,1,1,1,0.2867
1st Phase - General Contingent,Tourism,Male,Secondary Education - 12th Year of Schooling or Eq.,5,12.4,6,12.85714286,1,0,20,0,1,1,0.26
1st Phase - General Contingent,Management (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,5,14.2,5,14.8,1,0,32,0,1,1,0.2533
1st Phase - General Contingent,Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,1,18,0,1,0,0.54
1st Phase - Special Contingent (Madeira Island),Communication Design,Male,Secondary Education - 12th Year of Schooling or Eq.,6,12,5,11.2,1,0,19,1,1,1,0.3133
1st Phase - General Contingent,Journalism and Communication,Male,Secondary Education - 12th Year of Schooling or Eq.,3,13,6,11.83333333,1,1,19,0,1,1,0.14
1st Phase - General Contingent,Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,2,10,5,11,1,0,19,0,1,1,0.24
Change of Course,Management (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,8,12,9,12.33333333,1,0,30,0,1,1,0.26
Over 23 Years Old,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,2,11,1,17,1,1,34,1,1,1,0.2667
2nd Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,3,11.42857143,5,11,1,0,21,0,1,1,0.3667
1st Phase - General Contingent,Social Service,Male,Secondary Education - 12th Year of Schooling or Eq.,6,11.57142857,5,11.14285714,1,1,20,0,1,1,0.1533
1st Phase - General Contingent,Journalism and Communication,Male,Secondary Education - 12th Year of Schooling or Eq.,5,11.8,4,13.25,1,0,19,0,1,1,0.2467
2nd Phase - General Contingent,Journalism and Communication,Male,Secondary Education - 12th Year of Schooling or Eq.,1,10,0,0,1,0,21,0,1,1,0.44
2nd Phase - General Contingent,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,4,10.42857143,4,11.25,1,0,24,0,1,1,0.26
2nd Phase - General Contingent,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,4,13,5,12.4,0,0,20,1,1,1,0.26
1st Phase - General Contingent,Communication Design,Male,Secondary Education - 12th Year of Schooling or Eq.,6,12.66666667,6,12.83333333,1,1,20,0,1,1,0.1533
1st Phase - General Contingent,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,2,10,1,13,1,0,19,0,1,1,0.4267
Over 23 Years Old,Agronomy,Male,Secondary Education - 12th Year of Schooling or Eq.,5,11.6,6,11.375,1,0,30,0,1,1,0.2333
1st Phase - General Contingent,Social Service (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,6,11.66666667,6,11.83333333,1,0,26,0,1,1,0.2133
1st Phase - General Contingent,Journalism and Communication,Male,Secondary Education - 12th Year of Schooling or Eq.,5,11.83333333,6,12.71428571,1,1,18,0,1,1,0.1467
1st Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,8,15.3,8,15.3,1,1,18,0,1,1,0.1733
Technological Specialization Diploma Holders,Informatics Engineering,Male,Technological Specialization Course,3,12.6,1,13,1,0,20,0,1,1,0.3267
1st Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12,4,11,1,0,21,0,1,1,0.3067
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14,6,13.5,1,1,18,0,1,1,0.14
1st Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.4,5,12,1,1,18,0,1,1,0.2067
1st Phase - General Contingent,Management (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,3,12,2,11.5,1,0,26,0,1,1,0.2667
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.61666667,6,14.61666667,1,0,19,0,1,1,0.2133
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,14.06,7,14.06,1,1,19,0,1,1,0.2067
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.19230769,7,12.19230769,1,0,19,0,1,1,0.2133
2nd Phase - General Contingent,Tourism,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.33333333,6,12.83333333,1,1,18,0,1,1,0.1733
2nd Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.83333333,5,12.875,1,1,19,0,1,1,0.2067
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.5,6,12.16666667,1,1,22,0,1,1,0.14
Technological Specialization Diploma Holders,Agronomy,Female,Technological Specialization Course,6,12.85714286,6,13.42857143,1,0,21,0,1,1,0.1667
2nd Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.66666667,6,14.5,1,1,21,0,1,1,0.1667
1st Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.85714286,7,12.14285714,1,1,20,0,1,1,0.1533
1st Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,3,11.71428571,4,11.25,1,0,19,0,1,1,0.3267
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.9,6,13.9,1,0,18,0,1,1,0.2133
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.14285714,6,15.16666667,1,1,18,0,1,1,0.1933
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,3,11.33333333,2,14.5,1,0,19,0,1,1,0.2467
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,10.71428571,5,10.8,1,1,19,0,1,1,0.14
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,14.95555556,7,13.99571429,1,0,18,0,1,1,0.2133
2nd Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.8,6,13.28571429,1,0,20,0,1,1,0.2667
1st Phase - General Contingent,Animation and Multimedia Design,Female,Secondary Education - 12th Year of Schooling or Eq.,11,13.25,12,12.75,1,1,19,0,1,1,0.16
Change of Course,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.4,2,10.5,1,1,21,0,1,1,0.1333
2nd Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.28571429,7,12.71428571,1,1,18,1,1,1,0.16
Transfer,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,12.88625,8,12.88625,1,0,23,0,1,1,0.2867
1st Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.66666667,5,13,1,1,21,0,1,1,0.1867
1st Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.2,5,12.2,1,1,19,0,1,1,0.2067
1st Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,3,14.5,4,12.8,1,0,19,0,1,1,0.3267
Short Cycle Diploma Holders,Veterinary Nursing,Female,Professional Higher Technical Course,9,13.88888889,11,13.78571429,1,0,20,0,1,1,0.2333
Change of Course,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,4,13.25,0,0,1,0,18,0,1,1,0.46
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,14.50125,8,14.50125,1,1,18,0,1,1,0.2067
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.35,6,14.35,1,0,19,0,1,1,0.2133
2nd Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.33333333,6,11.5,1,1,21,0,1,1,0.2133
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.66666667,6,11.71428571,1,1,18,0,1,1,0.14
1st Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,13.6,6,13.57142857,1,0,20,0,1,1,0.2133
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.66666667,5,13,1,0,18,0,1,1,0.2267
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,14.02625,7,13.56875,1,1,18,0,1,1,0.22
Change of Course,Management (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,4,11.25,5,10.2,1,0,32,0,1,1,0.22
2nd Phase - General Contingent,Animation and Multimedia Design,Female,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,18,0,1,0,0.6089
1st Phase - Special Contingent (Madeira Island),Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.8,5,12.2,1,0,19,0,1,1,0.2667
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,14.15375,8,14.15375,1,1,18,0,1,1,0.2067
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.83333333,6,13.83333333,1,0,20,0,1,1,0.2267
1st Phase - Special Contingent (Azores Island),Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,4,14,6,13.42857143,1,0,19,0,1,1,0.2133
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.45428571,7,12.45428571,1,0,19,0,1,1,0.2667
2nd Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,0,0,1,11,1,0,18,0,1,1,0.44
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.94375,6,13.27166667,1,1,18,0,1,1,0.22
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.775,6,13.54833333,1,0,20,0,1,1,0.2667
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.5,6,12.16666667,1,0,19,0,1,1,0.2267
1st Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,7,14.42857143,7,13.28571429,1,1,19,0,1,1,0.1533
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14,6,13.33333333,1,1,20,0,1,1,0.1933
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.2575,8,13.2575,1,1,21,0,1,1,0.2067
3rd Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,2,11,5,10.8,1,0,24,0,1,1,0.3267
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.33333333,6,11.66666667,1,0,20,0,1,1,0.2133
Change of Institution/Course,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.16666667,6,15.33333333,1,1,23,0,1,1,0.1733
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,14.2,7,14.2,1,0,18,0,1,1,0.2133
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.66666667,6,14.83333333,1,1,19,0,1,1,0.14
1st Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13,6,11.83333333,1,0,19,0,1,1,0.26
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.5,6,13.42857143,1,1,18,0,1,1,0.14
Change of Course,Management (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,9,10.33333333,8,10.5,1,0,29,0,1,1,0.22
Over 23 Years Old,Oral Hygiene,Female,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,8,11.9625,6,11.41666667,1,0,24,0,1,1,0.16
2nd Phase - General Contingent,Oral Hygiene,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.81428571,6,11.15,1,0,19,0,1,1,0.2267
1st Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,13.625,3,11.66666667,1,0,19,0,1,1,0.22
2nd Phase - General Contingent,Tourism,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.4,6,11.5,1,0,20,0,1,1,0.2533
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.66666667,6,13.83333333,1,0,18,0,1,1,0.2267
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,13.0375,7,11.67857143,1,1,19,0,1,1,0.2067
1st Phase - General Contingent,Animation and Multimedia Design,Female,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,1,18,0,1,1,0.4467
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13,6,13,1,1,19,0,1,1,0.14
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,14.58888889,7,14.48571429,1,1,18,0,1,1,0.2067
Over 23 Years Old,Management (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.125,5,12.28571429,1,0,24,0,1,1,0.2067
Over 23 Years Old,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,13.5,4,13.375,1,0,28,1,1,1,0.2067
Transfer,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,11.57142857,7,11.57142857,1,0,20,0,1,1,0.2867
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.65714286,7,12.65714286,1,1,19,0,1,1,0.2067
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.16666667,6,13.71428571,1,0,19,0,1,1,0.2133
Holders of Other Higher Courses,Social Service,Female,Higher Education - Degree,11,13,13,13.07142857,1,0,36,0,1,1,0.2333
Technological Specialization Diploma Holders,Agronomy,Female,Technological Specialization Course,6,14,6,15.33333333,1,1,19,0,1,1,0.1
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.14285714,5,11.57142857,1,0,18,0,1,1,0.3
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.9,6,12.9,1,1,19,0,1,1,0.2067
Change of Course,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,13.126,5,13.126,1,0,38,0,1,1,0.16
1st Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.8,3,10.33333333,1,0,19,0,1,1,0.3267
2nd Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.42857143,6,13.5,1,0,19,0,1,1,0.2933
1st Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,2,11.5,4,12,1,0,20,0,1,1,0.3267
2nd Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,8,11.375,7,11.14285714,1,0,29,0,1,1,0.2733
1st Phase - General Contingent,Management (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,4,10.25,5,11.4,1,0,29,0,1,1,0.22
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.77142857,7,12.77142857,1,1,19,0,1,1,0.2067
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,13.79857143,7,13.79857143,1,1,18,0,1,1,0.2067
Over 23 Years Old,Social Service (Evening Attendance),Female,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,6,13.5,6,13.33333333,0,0,25,1,1,1,0.16
2nd Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,14.42857143,6,15.69230769,1,0,20,0,1,1,0.2667
1st Phase - Special Contingent (Madeira Island),Agronomy,Female,Secondary Education - 12th Year of Schooling or Eq.,13,14.53846154,18,15.05263158,1,1,20,1,1,1,0.14
Over 23 Years Old,Social Service,Male,Secondary Education - 12th Year of Schooling or Eq.,1,10,7,11,1,0,28,1,1,1,0.3
1st Phase - General Contingent,Tourism,Male,Secondary Education - 12th Year of Schooling or Eq.,6,13.16666667,6,13,1,1,19,0,1,1,0.1667
1st Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,8,12.93875,8,12.93875,1,1,18,0,1,1,0.1733
2nd Phase - General Contingent,Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,22,0,1,0,0.58
1st Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,7,13,7,13,1,0,18,0,1,1,0.2933
1st Phase - General Contingent,Social Service,Male,Secondary Education - 12th Year of Schooling or Eq.,5,12.16666667,5,11,1,0,20,0,1,1,0.26
2nd Phase - General Contingent,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,4,10.75,5,12.4,1,1,20,0,1,1,0.1533
1st Phase - General Contingent,Agronomy,Male,Secondary Education - 12th Year of Schooling or Eq.,6,14.1,6,15.5,1,0,19,0,1,1,0.2333
1st Phase - General Contingent,Journalism and Communication,Male,Secondary Education - 12th Year of Schooling or Eq.,6,13.5,6,12.66666667,1,1,18,0,1,1,0.1467
Over 23 Years Old,Agronomy,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,27,0,1,0,0.5733
International Student (Bachelor),Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,6,13,6,13,0,0,19,0,1,1,0.2133
Technological Specialization Diploma Holders,Agronomy,Male,Technological Specialization Course,4,11.75,6,11.71428571,1,1,21,0,1,1,0.12
1st Phase - General Contingent,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,5,13,6,12.16666667,1,1,18,0,1,1,0.14
1st Phase - General Contingent,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,5,11.6,5,11.5,1,0,19,0,1,1,0.2333
1st Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,4,12.25,4,11.25,1,1,18,0,1,1,0.24
Technological Specialization Diploma Holders,Communication Design,Male,Technological Specialization Course,8,12.375,7,12.28571429,1,1,22,0,1,1,0.1533
Technological Specialization Diploma Holders,Equinculture,Male,Technological Specialization Course,2,15,5,12.4,1,0,20,0,1,1,0.2667
Change of Course,Journalism and Communication,Male,Secondary Education - 12th Year of Schooling or Eq.,4,11.25,1,13,1,0,23,0,1,1,0.2933
Change of Course,Management (Evening Attendance),Male,Higher Education - Master's,5,13.71428571,5,12.6,1,0,26,0,1,1,0.3267
1st Phase - General Contingent,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,6,13.42857143,6,14.875,1,1,17,0,1,1,0.14
Change of Course,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,3,10.33333333,2,10,1,0,21,0,1,1,0.2667
Over 23 Years Old,Management (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,5,14.6,5,14.2,1,0,34,0,1,1,0.26
Technological Specialization Diploma Holders,Agronomy,Male,Technological Specialization Course,6,13.5,6,12.71428571,1,0,19,0,1,1,0.22
1st Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,7,13.475,5,12.7,1,0,20,0,1,1,0.2933
1st Phase - General Contingent,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,5,13.8,6,13.33333333,1,0,19,0,1,1,0.2333
Transfer,Agronomy,Male,Technological Specialization Course,9,13.11111111,8,13.33333333,1,0,24,0,1,1,0.3267
1st Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,5,15,5,13.4,1,0,18,0,1,1,0.3467
1st Phase - General Contingent,Communication Design,Male,Secondary Education - 12th Year of Schooling or Eq.,6,12.16666667,6,13.66666667,1,0,20,0,1,1,0.24
Over 23 Years Old,Management (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,4,12.75,4,12.25,1,0,39,0,1,1,0.26
2nd Phase - General Contingent,Veterinary Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,5,13.66666667,5,13.6,0,0,19,0,1,1,0.26
Over 23 Years Old,Management (Evening Attendance),Male,Other - 11th Year of Schooling,3,11.33333333,2,10.5,1,0,38,0,1,1,0.2333
2nd Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,6,13.26666667,6,13.26666667,1,1,18,0,1,1,0.1933
2nd Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,8,14.1875,7,12.5125,1,1,18,0,1,1,0.1933
1st Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,6,13.48333333,6,13.48333333,1,0,23,0,1,1,0.2933
1st Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,5,12.16,6,12.565,1,0,21,0,1,1,0.2933
2nd Phase - General Contingent,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,5,13.2,6,13.16666667,1,0,19,1,1,1,0.26
Technological Specialization Diploma Holders,Veterinary Nursing,Male,Technological Specialization Course,6,13.14285714,6,13.8,1,0,20,0,1,1,0.2533
Over 23 Years Old,Tourism,Male,Other - 11th Year of Schooling,4,11.8,6,11.16666667,1,0,25,0,1,1,0.2467
1st Phase - General Contingent,Communication Design,Male,Secondary Education - 12th Year of Schooling or Eq.,6,12.14285714,6,12.66666667,1,0,19,0,1,1,0.24
1st Phase - General Contingent,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,4,14.5,5,12.6,1,0,20,0,1,1,0.2333
Over 23 Years Old,Nursing,Male,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,0,0,5,13.06,1,0,33,0,1,1,0.4733
2nd Phase - General Contingent,Journalism and Communication,Male,Secondary Education - 12th Year of Schooling or Eq.,6,13.625,6,13.83333333,1,0,19,0,1,1,0.2667
Change of Course,Communication Design,Male,Higher Education - Bachelor's Degree,18,14.5,18,14.5,1,0,38,0,1,1,0.2933
1st Phase - General Contingent,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,5,13.8,5,14,1,1,20,0,1,1,0.2133
2nd Phase - General Contingent,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,5,13.57142857,3,13.33333333,1,0,20,0,1,1,0.4067
2nd Phase - General Contingent,Communication Design,Male,Secondary Education - 12th Year of Schooling or Eq.,4,11.2,5,12,1,0,19,0,1,1,0.2667
2nd Phase - General Contingent,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,5,16,5,16.2,1,0,18,0,1,1,0.4
1st Phase - General Contingent,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,18,0,1,0,0.58
1st Phase - General Contingent,Tourism,Male,Secondary Education - 12th Year of Schooling or Eq.,6,13.16666667,6,13.57142857,1,1,20,0,1,1,0.1667
1st Phase - General Contingent,Equinculture,Male,Secondary Education - 12th Year of Schooling or Eq.,6,14.85714286,6,14.28571429,1,0,18,0,1,1,0.28
2nd Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,4,10.5,5,10.2,1,0,19,0,1,1,0.3533
1st Phase - General Contingent,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,6,14.83333333,6,14.83333333,1,1,20,0,1,1,0.14
Technological Specialization Diploma Holders,Agronomy,Male,Technological Specialization Course,5,12.6,5,13.625,1,0,21,0,1,1,0.22
1st Phase - General Contingent,Oral Hygiene,Male,Secondary Education - 12th Year of Schooling or Eq.,7,13.65714286,7,12.27142857,1,0,24,1,1,1,0.2267
2nd Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,5,10.5,4,12.5,0,0,19,1,1,1,0.3533
Over 23 Years Old,Social Service (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,7,13.14285714,9,13.22222222,1,0,39,0,1,1,0.2467
Change of Course,Communication Design,Male,Secondary Education - 12th Year of Schooling or Eq.,12,13,12,13.16666667,1,0,19,0,1,1,0.24
3rd Phase - General Contingent,Journalism and Communication,Male,Secondary Education - 12th Year of Schooling or Eq.,4,14,5,13.83333333,1,1,21,0,1,1,0.1667
1st Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,19,0,1,0,0.5933
2nd Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,7,13.15428571,7,13.15428571,1,0,18,0,1,1,0.3133
1st Phase - General Contingent,Equinculture,Male,Secondary Education - 12th Year of Schooling or Eq.,5,11.4,2,11.5,1,0,19,0,1,1,0.2933
Technological Specialization Diploma Holders,Agronomy,Male,Technological Specialization Course,3,12.75,3,13.33333333,1,0,22,0,1,1,0.2333
